Game,TimeMs,Moves,Nodes,Visit,MaxDepth,BTrack,Uber,Fnd=>Tabl,Mega,Split,Abut,Neut,Order,InsertUnder,BurFndRdy,FCSeq,ColClr,MaxLkAhd,GenPurpose,Extender,Stat
256,2.2137,106,366,106,106,0,0,0,0,1,2,0,2,0,9,1,0,6,0,5,OK
257,13.615,142,1230,897,142,755,0,4,0,3,16,7,0,0,1,0,0,2,0,6,OK
258,5.5614,121,563,287,121,166,0,0,0,6,2,1,2,1,12,5,0,5,0,19,OK
259,2.411,109,345,109,109,0,0,0,0,7,6,1,2,0,2,3,0,2,0,11,OK
260,35.8195,107,2169,1880,107,1773,0,19,0,3,138,14,2,0,6,0,0,2,0,45,OK
261,15.4111,125,1364,1103,125,978,0,14,0,2,12,5,1,0,3,6,0,2,0,8,OK
262,24.426,110,1723,1470,110,1360,0,11,0,1,0,3,3,1,5,28,0,5,0,42,OK
263,3.4953,123,511,123,123,0,0,0,0,5,2,5,5,2,10,3,0,6,0,82,OK
264,5.5624,149,530,170,149,21,0,4,0,2,4,2,2,0,1,0,0,2,0,0,OK
265,7.0775,111,665,391,111,280,0,0,0,1,2,2,2,0,5,11,0,5,0,43,OK
266,2.1646,111,372,111,111,0,0,0,0,7,2,0,2,3,9,0,0,5,0,36,OK
267,3.6556,111,417,111,111,0,0,0,0,3,5,1,1,0,6,0,0,2,0,2,OK
268,3.8052,136,483,205,136,69,0,2,0,2,4,1,1,1,4,2,0,4,0,1,OK
269,2.3157,122,418,122,122,0,0,0,0,1,3,6,2,0,2,0,0,2,0,23,OK
270,3.0537,124,435,215,124,91,0,5,0,1,1,2,0,0,6,2,0,2,0,10,OK
271,3.5503,120,422,120,120,0,0,0,0,3,4,2,3,1,10,4,0,6,0,6,OK
272,3.1991,117,432,149,117,32,0,4,0,2,2,1,1,0,4,1,0,2,0,13,OK
273,58.8034,111,3791,3526,111,3415,0,45,0,4,449,7,1,1,6,0,0,2,0,99,OK
